measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2015,0.0494112206242552,0.284164365487816,-0.0011224640711162
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2015,0.0373372270977239,0.2365159961079227,-0.0024103614240427
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2015,0.0315366140964118,0.1116202418206162,-0.0012986320309243
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2015,0.0238080508812829,0.089275290963306,-0.0035932900010622
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2015,0.00097012591,0.00557920264,-2.203814e-05
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2015,0.00075294748,0.00476961297,-4.8607670000000003e-05
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2016,0.0499201177250254,0.283707249700084,-0.0012702860936889
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2016,0.0382424623883584,0.2328835166660242,-0.0024372659066915
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2016,0.0323521699620683,0.1152102988634704,-0.0012994800615961
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2016,0.0249900148888781,0.0932740993713655,-0.0032568757031453
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2016,0.00099207723,0.00563819791,-2.5244769999999997e-05
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2016,0.0007813646699999999,0.0047582436,-4.979788e-05
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2017,0.0496862542411833,0.2751504843307657,-0.0012248226134782
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2017,0.0387071834844191,0.234704181765018,-0.0021560492367047
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2017,0.0332128597975149,0.11770493769933,-0.0012492179809704
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2017,0.0263294125922048,0.096080057449009,-0.0032930013743335
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2017,0.00101397536,0.00561515084,-2.499564e-05
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2017,0.0008123056899999999,0.0049254822,-4.524667e-05
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2018,0.0490009460012213,0.2653527976157715,-0.0014467151504607
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2018,0.0385226824232406,0.2283394450084289,-0.0018245844176078
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2018,0.0340369859366252,0.1173672319868282,-0.0012249475909718
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2018,0.0276534540277704,0.0971476805613412,-0.003440172094996
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2018,0.00103638458,0.00561229061,-3.059846e-05
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2018,0.0008386251100000001,0.00497086859,-3.972055e-05
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2019,0.0481438940445792,0.2633335510333801,-0.001464087738988
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2019,0.0382250428076429,0.2221425579793774,-0.0018516810567679
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2019,0.0348694676687782,0.1218171288654179,-0.0012428386426078
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2019,0.0289501105582497,0.0991329376987055,-0.0034688442857051
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2019,0.00106026814,0.00579936835,-3.224346e-05
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2019,0.0008666320499999999,0.00503638049,-4.198102e-05
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2020,0.0475591437935808,0.2660536781842549,-0.0014278802000248
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2020,0.0382299659105951,0.2249370683317494,-0.0015516362089962
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2020,0.0357414462624128,0.1267025504731196,-0.0012894643079923
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2020,0.0302818691177195,0.1005893387837582,-0.0027048624307266
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2020,0.00108428437,0.0060656652100000005,-3.255374e-05
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2020,0.0008974982100000001,0.00528069047,-3.642668e-05
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2021,0.0472299937099369,0.2690394681351001,-0.0015280271033172
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2021,0.0385072211183878,0.2310335053687739,-0.0020483287483448
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2021,0.0367146469525496,0.1291894597965263,-0.0014122935965829
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2021,0.0317301683834441,0.1042625318232455,-0.0038027128045321
1,Deaths,67,Japan,1,Male,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2021,0.00111431889,0.0063475715099999995,-3.605144e-05
1,Deaths,67,Japan,2,Female,13,40-44 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2021,0.0009355987000000001,0.00561335359,-4.976765e-05
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2015,0.5734562784334102,2.8378444848098523,-0.0164470192552164
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2015,0.3760948738286283,2.080457518908711,-0.0270001286493345
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2015,0.03911008854612,0.1144701337076772,-0.0016977862260132
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2015,0.0223766042040572,0.0822976224428283,-0.0032320968498905
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2015,0.0127521484,0.06310614316,-0.00036573814
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2015,0.00850522831,0.04704867684,-0.00061059662
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2016,0.6307682435447378,3.1191425546636142,-0.0210135611094918
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2016,0.4046185407626195,2.295210695679545,-0.0257243348320822
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2016,0.0406117331979053,0.1176556958799827,-0.0017757984149614
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2016,0.0229154960810303,0.0839768340511316,-0.0032589143775328
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2016,0.013231017000000001,0.06542724461,-0.0004407812
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2016,0.00864682238,0.049049356880000006,-0.00054973693
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2017,0.6664337093257708,3.31223308313419,-0.0256973873572184
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2017,0.4225304341928721,2.4025639234381977,-0.0245117834125505
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2017,0.0421241342273098,0.1213851794510417,-0.0019740992990511
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2017,0.0236757627256676,0.0856585209006825,-0.003306918619383
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2017,0.01368575855,0.06801940179,-0.00052771676
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2017,0.008853713309999999,0.05034338466,-0.00051362052
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2018,0.7029647274254365,3.444753136034519,-0.0296230872945773
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2018,0.4444221356316948,2.49673616211713,-0.0242844071482189
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2018,0.0435909311767504,0.1242159705073769,-0.0022572211418276
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2018,0.0245159872667737,0.086631496549803,-0.0031163477089693
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2018,0.01410121022,0.06910046296,-0.0005942280799999999
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2018,0.00910407828,0.05114615054,-0.00049747104
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2019,0.7338662102285813,3.577443986480243,-0.0360218942636258
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2019,0.4639476699733747,2.5563694532536614,-0.0265319225299479
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2019,0.0448313298032815,0.128516223750515,-0.0027098715122619
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2019,0.0254431708392316,0.0882654467149117,-0.0023779668161387
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2019,0.01448329262,0.07060301640000001,-0.00071091383
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,3,Rate,2019,0.009368525190000001,0.051620933079999994,-0.00053576082
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2020,0.7520996283196341,3.593298686217949,-0.0385991974538674
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,1,Number,2020,0.4848662593504917,2.62384319089938,-0.0352071240366089
1,Deaths,67,Japan,1,Male,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2020,0.0459333164012318,0.1311166456329684,-0.0028628836361533
1,Deaths,67,Japan,2,Female,14,45-49 years,543,Alzheimer's disease and other dementias,108,High body-mass index,2,Percent,2020,0.026784562067311,0.0992088536122029,-0.0028563445403615
