measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,67,Japan,1,Male,11,30-34 years,587,Diabetes mellitus,1,Number,2015,11.950064704101907,12.449424167753472,11.500433605715713
1,Deaths,67,Japan,2,Female,11,30-34 years,587,Diabetes mellitus,1,Number,2015,5.883679653505779,6.063120215267405,5.667498624269247
1,Deaths,67,Japan,1,Male,11,30-34 years,587,Diabetes mellitus,2,Percent,2015,0.005003723119066375,0.005208534184374808,0.004815583754314757
1,Deaths,67,Japan,2,Female,11,30-34 years,587,Diabetes mellitus,2,Percent,2015,0.004737291884951278,0.004881635050933768,0.0045758927604947685
1,Deaths,67,Japan,1,Male,11,30-34 years,587,Diabetes mellitus,3,Rate,2015,0.31226693596175953,0.32531568954754225,0.30051763343639504
1,Deaths,67,Japan,2,Female,11,30-34 years,587,Diabetes mellitus,3,Rate,2015,0.15809068977815266,0.1629121423135862,0.15228204450145222
1,Deaths,67,Japan,1,Male,12,35-39 years,587,Diabetes mellitus,1,Number,2015,27.45745525054859,28.518033830149577,26.52287805299471
1,Deaths,67,Japan,2,Female,12,35-39 years,587,Diabetes mellitus,1,Number,2015,9.230780474889006,9.563864765038339,8.923871687038492
1,Deaths,67,Japan,1,Male,12,35-39 years,587,Diabetes mellitus,2,Percent,2015,0.0077938630662912,0.008082813629641679,0.007534026793910636
1,Deaths,67,Japan,2,Female,12,35-39 years,587,Diabetes mellitus,2,Percent,2015,0.00456536462251308,0.004732283568889272,0.004412581699826055
1,Deaths,67,Japan,1,Male,12,35-39 years,587,Diabetes mellitus,3,Rate,2015,0.6288973718321883,0.6531893200570421,0.6074914134885361
1,Deaths,67,Japan,2,Female,12,35-39 years,587,Diabetes mellitus,3,Rate,2015,0.21773004042150046,0.22558663024673486,0.21049086243799348
1,Deaths,67,Japan,1,Male,13,40-44 years,587,Diabetes mellitus,1,Number,2015,56.06826173068041,58.139742352288295,54.00988464522343
1,Deaths,67,Japan,2,Female,13,40-44 years,587,Diabetes mellitus,1,Number,2015,17.88224097043343,18.55914170074597,17.144487781091428
1,Deaths,67,Japan,1,Male,13,40-44 years,587,Diabetes mellitus,2,Percent,2015,0.008969796245930823,0.009297155118205468,0.0086423420573287
1,Deaths,67,Japan,2,Female,13,40-44 years,587,Diabetes mellitus,2,Percent,2015,0.004953302052262371,0.005138766265830103,0.004753974435206559
1,Deaths,67,Japan,1,Male,13,40-44 years,587,Diabetes mellitus,3,Rate,2015,1.1008283660142195,1.1414992296637516,1.0604147734810885
1,Deaths,67,Japan,2,Female,13,40-44 years,587,Diabetes mellitus,3,Rate,2015,0.36061564520671263,0.37426611519009734,0.3457380164566161
1,Deaths,67,Japan,1,Male,14,45-49 years,587,Diabetes mellitus,1,Number,2015,85.90171035739529,89.48246740091007,82.46861878371485
1,Deaths,67,Japan,2,Female,14,45-49 years,587,Diabetes mellitus,1,Number,2015,21.83115605736333,22.650861411090165,21.039651576125614
1,Deaths,67,Japan,1,Male,14,45-49 years,587,Diabetes mellitus,2,Percent,2015,0.009974161862113052,0.010394358271034724,0.009589748393580398
1,Deaths,67,Japan,2,Female,14,45-49 years,587,Diabetes mellitus,2,Percent,2015,0.004431345849778135,0.004594028489450635,0.00427438323454499
1,Deaths,67,Japan,1,Male,14,45-49 years,587,Diabetes mellitus,3,Rate,2015,1.9102264624271061,1.9898530127202974,1.8338836009788855
1,Deaths,67,Japan,2,Female,14,45-49 years,587,Diabetes mellitus,3,Rate,2015,0.4937024654210016,0.5122397592312955,0.47580292254970036
1,Deaths,67,Japan,1,Male,15,50-54 years,587,Diabetes mellitus,1,Number,2015,126.86499184814745,131.47864840963146,122.24121411533284
1,Deaths,67,Japan,2,Female,15,50-54 years,587,Diabetes mellitus,1,Number,2015,30.92576436220971,32.075487766329616,29.78676613505065
1,Deaths,67,Japan,1,Male,15,50-54 years,587,Diabetes mellitus,2,Percent,2015,0.00982413114172377,0.010181028457391961,0.009463101698903003
1,Deaths,67,Japan,2,Female,15,50-54 years,587,Diabetes mellitus,2,Percent,2015,0.004403208932670121,0.00456460606865109,0.00424640707648487
1,Deaths,67,Japan,1,Male,15,50-54 years,587,Diabetes mellitus,3,Rate,2015,3.114132237443172,3.2273828388999215,3.0006331934061437
1,Deaths,67,Japan,2,Female,15,50-54 years,587,Diabetes mellitus,3,Rate,2015,0.764296985353941,0.792711162008327,0.7361478699062113
1,Deaths,67,Japan,1,Male,16,55-59 years,587,Diabetes mellitus,1,Number,2015,192.57320006162632,200.50005188898112,184.1453845944809
1,Deaths,67,Japan,2,Female,16,55-59 years,587,Diabetes mellitus,1,Number,2015,45.491114709419115,47.441410695787084,43.01855513795865
1,Deaths,67,Japan,1,Male,16,55-59 years,587,Diabetes mellitus,2,Percent,2015,0.009817940466317612,0.010215712543860299,0.009399510001322199
1,Deaths,67,Japan,2,Female,16,55-59 years,587,Diabetes mellitus,2,Percent,2015,0.004771176888648097,0.0049554922184092106,0.004521658905486053
1,Deaths,67,Japan,1,Male,16,55-59 years,587,Diabetes mellitus,3,Rate,2015,5.054202241540708,5.262247349901356,4.8330090339100185
1,Deaths,67,Japan,2,Female,16,55-59 years,587,Diabetes mellitus,3,Rate,2015,1.1822660225334418,1.232952155271552,1.1180068108456203
