location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_hbm_2015,percent_change_from_2015
Brazil,2015,40 and above,Female,108652.89126585783,18256.855143233766,16.802917005274985,16.802917005274985,0.0
Brazil,2015,40 and above,Male,172207.14909699213,28061.47602723308,16.295186450957406,16.295186450957406,0.0
Brazil,2015,Under 40,Female,834.4598595061734,208.46550005857597,24.982088435259687,24.982088435259687,0.0
Brazil,2015,Under 40,Male,2086.4359346176634,501.41971455889944,24.032356145686492,24.032356145686492,0.0
Brazil,2016,40 and above,Female,112589.39480339552,19117.74528364882,16.98005866097102,16.802917005274985,1.0542315696758262
Brazil,2016,40 and above,Male,180394.4450815235,29717.205037741565,16.473459049313753,16.295186450957406,1.094019997211343
Brazil,2016,Under 40,Female,849.42652728548,214.26407419446343,25.224556487444428,24.982088435259687,0.9705675841036636
Brazil,2016,Under 40,Male,2132.978628305611,518.7575555025754,24.320804185209504,24.032356145686492,1.2002486887861146
Brazil,2017,40 and above,Female,111153.0122740911,19013.99147018394,17.106141418189846,16.802917005274985,1.8045938858096455
Brazil,2017,40 and above,Male,178972.55604149174,29775.74795042555,16.637046823828424,16.295186450957406,2.097922438015015
Brazil,2017,Under 40,Female,779.2384138377886,198.4829257326678,25.4713990234554,24.982088435259687,1.9586456491167556
Brazil,2017,Under 40,Male,2027.296704089286,498.45629914339,24.587239654558083,24.032356145686492,2.308901821809865
Brazil,2018,40 and above,Female,111559.6047262137,19253.391306873193,17.258389677988102,16.802917005274985,2.710676203245721
Brazil,2018,40 and above,Male,180163.63720314295,30334.214556650524,16.83703494642888,16.295186450957406,3.3252058643344817
Brazil,2018,Under 40,Female,773.8180230264575,198.96449213577125,25.712051957333188,24.982088435259687,2.921947554405544
Brazil,2018,Under 40,Male,1940.0509300432384,482.4303195902533,24.86688942642868,24.032356145686492,3.4725404187719535
Brazil,2019,40 and above,Female,113893.51705370136,19815.25798679882,17.39805609607773,16.802917005274985,3.5418796070700855
Brazil,2019,40 and above,Male,183722.9632274844,31263.80758766936,17.01682089078802,16.295186450957406,4.428512935414825
Brazil,2019,Under 40,Female,774.1772747164243,200.85145013432688,25.943857653002972,24.982088435259687,3.8498351338227
Brazil,2019,Under 40,Male,1959.019739087786,492.5810865195121,25.14426356667961,24.032356145686492,4.626709983210239
Brazil,2020,40 and above,Female,117246.90663760668,20669.71379643318,17.629218875957463,16.802917005274985,4.9176096651734635
Brazil,2020,40 and above,Male,187259.4661475984,32298.9425462859,17.24822953453674,16.295186450957406,5.848617237045113
Brazil,2020,Under 40,Female,789.4964099769167,206.61710518479467,26.17074663972642,24.982088435259687,4.758041776799825
Brazil,2020,Under 40,Male,1982.776294615232,504.6696902719051,25.452679237817836,24.032356145686492,5.910045122172818
Brazil,2021,40 and above,Female,119761.98521760864,21474.55322471844,17.93102643188402,16.802917005274985,6.713771342528717
Brazil,2021,40 and above,Male,186468.30306703455,32771.48981597381,17.574831366483018,16.295186450957406,7.852901342226912
Brazil,2021,Under 40,Female,827.5616801391883,218.6238517756887,26.41783168825775,24.982088435259687,5.747090587397233
Brazil,2021,Under 40,Male,2076.9400481388016,535.9483094278728,25.804707743401146,24.032356145686492,7.374855744357668
Global,2015,40 and above,Female,5677387.700576378,705782.1663084371,12.431459740485662,12.431459740485662,0.0
Global,2015,40 and above,Male,8347794.897865473,935919.5812929508,11.211578539528624,11.211578539528624,0.0
Global,2015,Under 40,Female,40262.89099873124,7104.156327814958,17.644426794983058,17.644426794983058,0.0
Global,2015,Under 40,Male,103824.83079090864,16113.718464320078,15.520100867557655,15.520100867557655,0.0
Global,2016,40 and above,Female,5789477.440610691,723094.010692625,12.489797535446495,12.431459740485662,0.4692755008556535
Global,2016,40 and above,Male,8528421.422220258,963135.2309666242,11.293241542417649,11.211578539528624,0.7283809554658683
Global,2016,Under 40,Female,40839.22242074325,7235.73328232246,17.71760786181681,17.644426794983058,0.4147545719907371
Global,2016,Under 40,Male,104954.24383972226,16491.854866376692,15.713375908421328,15.520100867557655,1.2453207779576
Global,2017,40 and above,Female,5837023.156544579,734246.0875316991,12.579118976227614,12.431459740485662,1.1877867830844349
Global,2017,40 and above,Male,8629493.060841449,979819.8083001168,11.354314806118818,11.211578539528624,1.2731148079367218
Global,2017,Under 40,Female,40404.92369761606,7271.926640998535,17.99762498110493,17.644426794983058,2.001754946339766
Global,2017,Under 40,Male,105441.99789648216,16829.000051879106,15.960433591557136,15.520100867557655,2.8371769472189916
Global,2018,40 and above,Female,5995932.018737825,760529.4091585893,12.68408992600094,12.431459740485662,2.032184399813759
Global,2018,40 and above,Male,8867425.995828403,1012257.5070903169,11.415460445528652,11.211578539528624,1.8184942047295316
Global,2018,Under 40,Female,39983.59147222786,7368.15966292011,18.427958549041172,17.644426794983058,4.440675592141649
Global,2018,Under 40,Male,106377.78301731756,17248.16334462097,16.21406543301724,15.520100867557655,4.471392108734349
Global,2019,40 and above,Female,6107922.505744701,781947.1481969539,12.802178604288232,12.431459740485662,2.9821024364117528
Global,2019,40 and above,Male,9068522.162396198,1039755.968156925,11.46555027971821,11.211578539528624,2.265262998374036
Global,2019,Under 40,Female,39700.318047387416,7445.721126885695,18.75481480525741,17.644426794983058,6.2931373355244125
Global,2019,Under 40,Male,106875.58827136231,17610.172616886233,16.47726379963696,15.520100867557655,6.167246851340419
Global,2020,40 and above,Female,6189909.400175619,801764.0420851471,12.952758921841404,12.431459740485662,4.19338671594633
Global,2020,40 and above,Male,9203526.789784173,1062615.510898176,11.545742574223492,11.211578539528624,2.980526190105235
Global,2020,Under 40,Female,40369.76427897732,7594.153163263752,18.811487505312066,17.644426794983058,6.614330541249686
Global,2020,Under 40,Male,106363.5284473333,17741.650371346328,16.68020103350674,15.520100867557655,7.474823622919188
Global,2021,40 and above,Female,6314562.089398784,830745.7052695403,13.15603035504615,12.431459740485662,5.828524000289131
Global,2021,40 and above,Male,9349771.88938778,1091273.6235330089,11.671660404588389,11.211578539528624,4.103631468464997
Global,2021,Under 40,Female,41069.10919629798,7781.306461948468,18.94685960865663,17.644426794983058,7.381553556865337
Global,2021,Under 40,Male,108685.366777288,18333.02185116089,16.867976246266803,15.520100867557655,8.684707594437551
India,2015,40 and above,Female,1026011.2508669308,73126.07065139637,7.127219179088757,7.127219179088757,0.0
India,2015,40 and above,Male,1726795.2386478165,95201.11781773498,5.5131677275345705,5.5131677275345705,0.0
India,2015,Under 40,Female,12319.47112532924,1345.6922845716022,10.9232959019224,10.9232959019224,0.0
India,2015,Under 40,Male,32974.334858425354,3437.117816665167,10.423615309974751,10.423615309974751,0.0
India,2016,40 and above,Female,1089900.4352909958,79208.50558379179,7.267499215434635,7.127219179088757,1.968229583249794
India,2016,40 and above,Male,1785953.159741395,99961.98711805888,5.59712255457659,5.5131677275345705,1.5228056027158614
India,2016,Under 40,Female,12956.729363323786,1418.0617441542092,10.944596467132152,10.9232959019224,0.1950012651950971
India,2016,Under 40,Male,33658.04118689944,3548.451143119693,10.542654943630051,10.423615309974751,1.1420186769688838
India,2017,40 and above,Female,1100700.070472686,81852.81468061052,7.436432219492777,7.127219179088757,4.338480866580471
India,2017,40 and above,Male,1825966.8408016823,103793.88667552215,5.684324838557962,5.5131677275345705,3.1045148539301017
India,2017,Under 40,Female,12812.056512320074,1430.1488204520826,11.162523511169743,10.9232959019224,2.1900680105648505
India,2017,Under 40,Male,33519.524995056476,3595.7222600696427,10.72724706152592,10.423615309974751,2.912921692923686
India,2018,40 and above,Female,1168227.279453912,88844.54289600103,7.605073469738819,7.127219179088757,6.704638634547472
India,2018,40 and above,Male,1934526.332014804,111315.9248404152,5.754169534848356,5.5131677275345705,4.371385367257071
India,2018,Under 40,Female,12086.675004763893,1361.616802396539,11.265437366851229,10.9232959019224,3.1322182242505736
India,2018,Under 40,Male,33181.82470327203,3590.616423090996,10.82103366888358,10.423615309974751,3.8126729267198054
India,2019,40 and above,Female,1203672.8260562085,93570.8157092468,7.773774873345632,7.127219179088757,9.071640397335711
India,2019,40 and above,Male,2009972.9509265013,116809.08035682845,5.811475239156081,5.5131677275345705,5.410818722812751
India,2019,Under 40,Female,11624.366983837084,1320.3893116973795,11.358806148612596,10.9232959019224,3.986985710178833
India,2019,Under 40,Male,32832.10186848206,3594.7597610036782,10.94891754235982,10.423615309974751,5.039539706366444
India,2020,40 and above,Female,1207842.8863692065,95886.89445294272,7.93868933907291,7.127219179088757,11.385508703941705
India,2020,40 and above,Male,2048515.4380164756,120707.07204615224,5.8924170062896755,5.5131677275345705,6.878972262371222
India,2020,Under 40,Female,12360.76198181492,1419.1686882310746,11.48123950868844,10.9232959019224,5.107832029596918
India,2020,Under 40,Male,32813.94626069763,3637.9611869158234,11.08663114766276,10.423615309974751,6.360709005190785
India,2021,40 and above,Female,1212786.6628115748,97889.49173756145,8.07145186694472,7.127219179088757,13.24826224828807
India,2021,40 and above,Male,2074780.6620870433,124201.4950574381,5.986246995983784,5.5131677275345705,8.580897440984792
India,2021,Under 40,Female,12906.835515138378,1495.905224373294,11.590023151831078,10.9232959019224,6.103718656851003
India,2021,Under 40,Male,33603.6430743204,3745.308198163159,11.14554213624918,10.423615309974751,6.925877488817045
Japan,2015,40 and above,Female,63507.78471811391,3222.0577602872645,5.073484730397561,5.073484730397561,0.0
Japan,2015,40 and above,Male,96182.57182182468,6222.959497610527,6.469945001198734,6.469945001198734,0.0
Japan,2015,Under 40,Female,75.45244428524892,6.850294197778147,9.07895597375285,9.07895597375285,0.0
Japan,2015,Under 40,Male,408.8523359609577,49.081516789387805,12.00470499306985,12.00470499306985,0.0
Japan,2016,40 and above,Female,63747.7200844694,3251.205872721223,5.10011317802925,5.073484730397561,0.5248551842907186
Japan,2016,40 and above,Male,96931.3717539528,6318.29015967107,6.518312952084488,6.469945001198734,0.7475790115185289
Japan,2016,Under 40,Female,72.81649133668988,6.667616252483145,9.156739263435986,9.07895597375285,0.85674266851835
Japan,2016,Under 40,Male,382.30810914215107,46.39568881681284,12.135680020211616,12.00470499306985,1.091030785157783
Japan,2017,40 and above,Female,63801.63792593524,3270.7158683407297,5.126382291529212,5.073484730397561,1.0426277783929792
Japan,2017,40 and above,Male,97436.96813384634,6371.560910082943,6.539161708449831,6.469945001198734,1.0698190979718274
Japan,2017,Under 40,Female,65.83335448735053,6.089865012112243,9.250424894089775,9.07895597375285,1.888641390404803
Japan,2017,Under 40,Male,348.29883733634034,42.88524031471837,12.312771596565954,12.00470499306985,2.566215526945024
Japan,2018,40 and above,Female,64679.278064310696,3345.41433474932,5.17231242349825,5.073484730397561,1.9479253087836663
Japan,2018,40 and above,Male,98134.46628680058,6445.1955733545665,6.567718577607903,6.469945001198734,1.5111964072500488
Japan,2018,Under 40,Female,62.83325866848053,5.878267382703966,9.355343821524126,9.07895597375285,3.044269061005591
