measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,13,40-44 years,494,Stroke,108,High body-mass index,1,Number,2015,3767.7914571318815,8091.802038662901,195.14865762875752
1,Deaths,1,Global,2,Female,13,40-44 years,494,Stroke,108,High body-mass index,1,Number,2015,3146.934389733844,6599.597103857799,117.66836768759134
1,Deaths,1,Global,1,Male,13,40-44 years,494,Stroke,108,High body-mass index,2,Percent,2015,0.0595571230638213,0.1308844155771958,0.0032143402597365
1,Deaths,1,Global,2,Female,13,40-44 years,494,Stroke,108,High body-mass index,2,Percent,2015,0.0881111276209893,0.1870916594945724,0.0034602574617808
1,Deaths,1,Global,1,Male,13,40-44 years,494,Stroke,108,High body-mass index,3,Rate,2015,1.54183294859,3.3112785404,0.07985755943
1,Deaths,1,Global,2,Female,13,40-44 years,494,Stroke,108,High body-mass index,3,Rate,2015,1.3107302566599999,2.74879947735,0.04901007478
1,Deaths,1,Global,1,Male,13,40-44 years,494,Stroke,108,High body-mass index,1,Number,2016,3859.475036720844,8581.57428186929,209.3329598816228
1,Deaths,1,Global,2,Female,13,40-44 years,494,Stroke,108,High body-mass index,1,Number,2016,3212.3208313478017,6762.908376312889,118.82797993472148
1,Deaths,1,Global,1,Male,13,40-44 years,494,Stroke,108,High body-mass index,2,Percent,2016,0.0613174154026317,0.1341528221040203,0.0033281142254247
1,Deaths,1,Global,2,Female,13,40-44 years,494,Stroke,108,High body-mass index,2,Percent,2016,0.0904825371471851,0.1910837955377507,0.0034705726443717
1,Deaths,1,Global,1,Male,13,40-44 years,494,Stroke,108,High body-mass index,3,Rate,2016,1.57810908282,3.50893844118,0.08559460605
1,Deaths,1,Global,2,Female,13,40-44 years,494,Stroke,108,High body-mass index,3,Rate,2016,1.3353705875200002,2.81135957645,0.04939711745000001
1,Deaths,1,Global,1,Male,13,40-44 years,494,Stroke,108,High body-mass index,1,Number,2017,3933.3378768707753,8651.846614894064,213.1219456175093
1,Deaths,1,Global,2,Female,13,40-44 years,494,Stroke,108,High body-mass index,1,Number,2017,3251.44008404484,6709.861180658654,122.1624567274316
1,Deaths,1,Global,1,Male,13,40-44 years,494,Stroke,108,High body-mass index,2,Percent,2017,0.0628171987831375,0.1363901111220371,0.0035326613850314
1,Deaths,1,Global,2,Female,13,40-44 years,494,Stroke,108,High body-mass index,2,Percent,2017,0.0925640346855383,0.1956962633778932,0.003582366362894
