location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_change_from_2015
Brazil,2015,40 and above,Female,48672.40478630448,665.946170383441,1.3682212196156496,0.0
Brazil,2015,40 and above,Male,60645.34936168524,350.289053624053,0.5776024993028731,0.0
Brazil,2015,Under 40,Female,293.0268947082917,20.297084890984383,6.926696920154764,0.0
Brazil,2015,Under 40,Male,419.2141955753883,12.182412846101288,2.906011526966647,0.0
Brazil,2016,40 and above,Female,50735.30236301474,689.0350537330274,1.3580978562085468,-0.7398922967987966
Brazil,2016,40 and above,Male,63164.81081079155,362.06074533452744,0.5732000787892335,-0.762188619154698
Brazil,2016,Under 40,Female,298.34644940272483,20.4643610427412,6.85926079687218,-0.9735682686846538
Brazil,2016,Under 40,Male,426.5944369107119,13.915661928891252,3.2620354896479493,12.251292170644867
Brazil,2017,40 and above,Female,51634.790425204126,727.2450253238759,1.4084399671909793,2.9394915821162075
Brazil,2017,40 and above,Male,62586.64966888536,386.3352862614305,0.6172806633768337,6.869458515475517
Brazil,2017,Under 40,Female,273.60644327583685,19.569806619199387,7.152538655484092,3.260453545645853
Brazil,2017,Under 40,Male,411.380563354219,14.930378405464484,3.6293349116274825,24.890588972159197
Brazil,2018,40 and above,Female,52053.715101934984,701.6638841960262,1.3479612028113308,-1.4807559270283837
Brazil,2018,40 and above,Male,62563.93397360331,389.2939942122272,0.6222338805876183,7.7270062609861
Brazil,2018,Under 40,Female,267.99870519049597,19.18463563008014,7.158480715958506,3.3462384521158364
Brazil,2018,Under 40,Male,408.8729024763427,14.590935334760577,3.568574793387,22.79974667244179
Brazil,2019,40 and above,Female,54072.38531763563,764.9982254085718,1.4147669293943073,3.4019140407523394
Brazil,2019,40 and above,Male,63980.67548807232,403.0247072043678,0.629916305399905,9.057060203197016
Brazil,2019,Under 40,Female,279.8246438367044,20.44225627595759,7.30538096847787,5.467022055220012
Brazil,2019,Under 40,Male,407.6716085532864,14.8628211938867,3.6457827530915714,25.45658264807753
Brazil,2020,40 and above,Female,55797.70108887896,785.5500554750507,1.4078538006857395,2.8966500812802205
Brazil,2020,40 and above,Male,66070.80940321184,411.2409073916759,0.6224245035080267,7.760008701356156
Brazil,2020,Under 40,Female,287.20872948834,20.623171171316827,7.180551652471301,3.6648742574240676
Brazil,2020,Under 40,Male,412.2790485807182,14.93095080692165,3.6215642920303255,24.62319087256294
Brazil,2021,40 and above,Female,57098.899269265385,810.2644345412482,1.4190543861804163,3.7152739510242685
Brazil,2021,40 and above,Male,65414.237962083665,410.79719658458345,0.6279935521418067,8.72417499919966
Brazil,2021,Under 40,Female,301.22403957934614,22.22961623159746,7.379761675940842,6.54084856041248
Brazil,2021,Under 40,Male,426.0635310704887,15.704505660791568,3.6859539752989057,26.83893167988835
Global,2015,40 and above,Female,2679703.2689982313,58912.63059088277,2.198475901136114,0.0
Global,2015,40 and above,Male,3741619.041520213,44532.86009096269,1.1902029468202906,0.0
Global,2015,Under 40,Female,14586.879527511222,1274.231006762582,8.735459865554866,0.0
Global,2015,Under 40,Male,18586.57652172824,1028.5989480442313,5.534095785965585,0.0
Global,2016,40 and above,Female,2741122.4359843354,60698.64071097496,2.2143717447330338,0.72303924681209
Global,2016,40 and above,Male,3798738.660424865,45256.07371554174,1.191344753115502,0.09593374795968512
Global,2016,Under 40,Female,14817.667781744318,1303.567976941414,8.797389684680592,0.7089474404195294
Global,2016,Under 40,Male,18744.947455789457,1045.8679133755518,5.5794656978487875,0.8198252006815709
Global,2017,40 and above,Female,2833638.6620681104,63049.61118999598,2.2250406177045763,1.2083242101828107
Global,2017,40 and above,Male,3864593.743663967,46170.3791169895,1.194702009562744,0.3780080325353792
Global,2017,Under 40,Female,15039.522890346852,1329.2819215086206,8.838591032444405,1.18060375156894
Global,2017,Under 40,Male,18829.529140645715,1058.1531348638375,5.619647347313066,1.545899540886861
Global,2018,40 and above,Female,2918305.4036579574,65157.1689547384,2.2327056268020127,1.5569752503636614
Global,2018,40 and above,Male,3969490.36107747,47677.13971137767,1.2010896960192214,0.9146968782101866
Global,2018,Under 40,Female,14658.085830463462,1320.6827471412396,9.009926414788104,3.141981686797035
Global,2018,Under 40,Male,18634.605041546165,1056.6195289123857,5.670200825596434,2.4593907459283684
Global,2019,40 and above,Female,2974452.149889017,66680.20500697549,2.2417642526023984,1.969016419234536
Global,2019,40 and above,Male,4054128.213176078,48775.843657686426,1.2031154687995065,1.084900857766533
Global,2019,Under 40,Female,14634.558342929156,1343.8820449651948,9.18293544276658,5.122518838145801
Global,2019,Under 40,Male,18580.25749343832,1070.6313660515632,5.762198755478283,4.121774872259446
Global,2020,40 and above,Female,2997986.8643842037,67384.68197935064,2.247664350363712,2.2373886019027527
Global,2020,40 and above,Male,4106323.4399766186,49450.37348546635,1.2042493536687386,1.1801690531832398
Global,2020,Under 40,Female,14870.088164953784,1365.700694294038,9.1842138334644,5.137153336128682
Global,2020,Under 40,Male,18388.428059606085,1068.1456297311051,5.808792498568726,4.963714457197682
Global,2021,40 and above,Female,3048847.4744672705,68533.81591714823,2.247859772949883,2.2462776047828696
Global,2021,40 and above,Male,4154516.4167545554,50087.45389422924,1.2056145377650669,1.2948708441656456
Global,2021,Under 40,Female,15163.847815108224,1398.305907455563,9.221313247831375,5.561852378170692
Global,2021,Under 40,Male,18614.494180025707,1089.8831372269412,5.8550241907536815,5.799111854947797
India,2015,40 and above,Female,992386.4653197211,22497.983141076264,2.2670586437137668,0.0
India,2015,40 and above,Male,1166643.2691507966,14711.309501119578,1.2609946750756114,0.0
India,2015,Under 40,Female,4519.157098860763,268.1602036429592,5.9338544285296,0.0
India,2015,Under 40,Male,5294.713969445477,223.57560464479556,4.222619124186815,0.0
India,2016,40 and above,Female,1020147.2118776428,23357.59818721719,2.289630154870111,0.9956297874751342
India,2016,40 and above,Male,1176446.0178609462,14907.071240903728,1.2671275192046862,0.4863497245701813
India,2016,Under 40,Female,4713.859379724223,279.38712713005003,5.926929605320453,-0.11670025432126464
India,2016,Under 40,Male,5413.675340335464,229.3487601045086,4.236470524852286,0.32802865373603624
India,2017,40 and above,Female,1072463.7474513722,24773.6976176922,2.309979957510451,1.8932599699482473
India,2017,40 and above,Male,1212711.2821626172,15342.113848132603,1.2651085277918046,0.3262387064359785
India,2017,Under 40,Female,4925.321419441294,293.99720862282373,5.969096909337816,0.5939222344042018
