location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_change_from_2015
Brazil,2015,40 and above,Female,54774.69417685139,31143.518711779765,56.85749446857064,0.0
Brazil,2015,40 and above,Male,50206.98768401687,28092.43919230429,55.95324572967234,0.0
Brazil,2015,Under 40,Female,386.27365392892784,204.9566432280133,53.05995921371437,0.0
Brazil,2015,Under 40,Male,466.6235293504918,233.5136911335689,50.04327395547414,0.0
Brazil,2016,40 and above,Female,56398.54559633675,32181.27008479355,57.06046094721246,0.35697401114643584
Brazil,2016,40 and above,Male,52827.90930252997,29721.295765025283,56.26059436654993,0.5492954570723015
Brazil,2016,Under 40,Female,405.03026645474256,212.8467293656621,52.55082076426633,-0.9595530358350679
Brazil,2016,Under 40,Male,496.8115025238373,247.0743340732352,49.73200757592773,-0.6219944359023322
Brazil,2017,40 and above,Female,56652.05460491468,32438.82142895411,57.25974398488979,0.7074696485992682
Brazil,2017,40 and above,Male,54585.91436967352,30829.510071281544,56.478874499553314,0.9394071121815731
Brazil,2017,Under 40,Female,399.487181474019,207.2500037817146,51.879012241896746,-2.2256839042431595
Brazil,2017,Under 40,Male,511.8073953140379,253.74421681341792,49.578067674798646,-0.9296080050426185
Brazil,2018,40 and above,Female,57592.30502706165,33089.13529717222,57.45409092694622,1.0492837645270532
Brazil,2018,40 and above,Male,56308.18776395525,32011.484683396673,56.85049715609618,1.6035735098527535
Brazil,2018,Under 40,Female,401.0443900914741,206.9190806719793,51.595056752890414,-2.760843548566703
Brazil,2018,Under 40,Male,528.1878787632411,263.82458328803375,49.94900373438757,-0.18837740546402168
Brazil,2019,40 and above,Female,59767.301186922385,34443.796816536815,57.629834596033966,1.358378758477043
Brazil,2019,40 and above,Male,57928.97892931153,33042.93865422471,57.04042996260251,1.9430226410505256
Brazil,2019,Under 40,Female,417.46271863827616,214.26576993670147,51.32572571644628,-3.2684410673648747
Brazil,2019,Under 40,Male,531.5271218236898,265.67912624702774,49.984114702458186,-0.1182161923869983
Brazil,2020,40 and above,Female,62043.862497439935,35972.35063076534,57.97890263883818,1.972313730580269
Brazil,2020,40 and above,Male,59931.80605034257,34383.617032385606,57.37123457201248,2.534238762825113
Brazil,2020,Under 40,Female,430.0883497449972,221.77102624075312,51.56406267973613,-2.819256848564626
Brazil,2020,Under 40,Male,540.7331106777187,271.3671618009776,50.18504627187785,0.28329944305772525
Brazil,2021,40 and above,Female,63350.1559447697,37012.40686279162,58.425123523073864,2.757119477661413
Brazil,2021,40 and above,Male,59348.36256077071,34336.80072330764,57.85635734793513,3.4012533025471297
Brazil,2021,Under 40,Female,447.9970229646311,231.77521246980317,51.735882291365485,-2.495435243392825
Brazil,2021,Under 40,Male,561.9549814898613,283.09480965754676,50.37677731888819,0.6664299456322132
Global,2015,40 and above,Female,1324058.9364437817,638274.0510990208,48.20586406926315,0.0
Global,2015,40 and above,Male,1302348.3289754456,570742.5553839094,43.82410931742902,0.0
Global,2015,Under 40,Female,9882.60169846929,4350.195861903766,44.01873104506038,0.0
Global,2015,Under 40,Male,13373.963785229338,5299.368331584882,39.62451533955614,0.0
Global,2016,40 and above,Female,1378556.691669244,668804.6086731489,48.51484256794096,0.6409562501231456
Global,2016,40 and above,Male,1355100.5347907268,599875.3452709136,44.267958713746246,1.0127973009156073
Global,2016,Under 40,Female,10199.214278116406,4526.144439408854,44.37738355120375,0.8147724789618135
Global,2016,Under 40,Male,13834.098833599654,5539.097138622963,40.039450384508214,1.0471674956686596
Global,2017,40 and above,Female,1426796.361933346,694551.467935358,48.67908879401843,0.981674603063529
Global,2017,40 and above,Male,1404052.7325703984,625236.7943619232,44.53086268471574,1.6127044640372057
Global,2017,Under 40,Female,10401.45897123663,4629.555679797853,44.50871452360731,1.1131249513879762
Global,2017,Under 40,Male,14229.821139431651,5754.857611096956,40.44223433806848,2.063669401392104
Global,2018,40 and above,Female,1488113.0414464702,727888.1462619017,48.91349823494474,1.4679420841100306
Global,2018,40 and above,Male,1466876.404446878,657078.7330313888,44.79441696924402,2.2140955445022663
Global,2018,Under 40,Female,10506.158271542974,4740.9796450562835,45.12572076795875,2.5148151630386253
Global,2018,Under 40,Male,14603.728294487426,5992.27545415615,41.03250439422443,3.5533281419412908
Global,2019,40 and above,Female,1545640.9995838306,759069.8572503654,49.11035987365421,1.8763190368115037
Global,2019,40 and above,Male,1522308.9265436195,685147.9035871086,45.00715272968457,2.699526426621634
Global,2019,Under 40,Female,10686.24516954767,4863.623485081113,45.5129318850073,3.3944659568158864
Global,2019,Under 40,Male,14933.970004316425,6201.801374720678,41.528149399845766,4.804182572270548
Global,2020,40 and above,Female,1581237.3339805736,782692.6623140022,49.49874667730417,2.6820027666828654
Global,2020,40 and above,Male,1562285.1419811482,708359.2716379114,45.34122821776533,3.461836244856533
Global,2020,Under 40,Female,10825.797635032372,4945.669280970052,45.68410982453454,3.783341182119431
Global,2020,Under 40,Male,14943.990113987158,6252.858396150483,41.84196020243604,5.596143811168039
Global,2021,40 and above,Female,1617960.0396417803,807236.4989141584,49.892239556972136,3.4982787266004984
Global,2021,40 and above,Male,1590728.6263381366,726728.4422382847,45.685255813319735,4.2468552695731105
Global,2021,Under 40,Female,11010.60074672208,5061.892309291331,45.972898534153884,4.439399870689359
Global,2021,Under 40,Male,15267.26975303325,6452.8759239155115,42.26607656967269,6.666482119667841
India,2015,40 and above,Female,256176.76722623425,91681.5332503198,35.788387152748406,0.0
India,2015,40 and above,Male,264791.4460136382,75831.47584127635,28.638189406379315,0.0
India,2015,Under 40,Female,1563.0498457550414,490.5695599818284,31.385407273742803,0.0
India,2015,Under 40,Male,2525.811265479444,686.8171468898092,27.191942496916493,0.0
India,2016,40 and above,Female,270467.37150352856,97951.44343884522,36.21562293977754,1.1937832940211808
India,2016,40 and above,Male,273335.05147766613,79542.28211527968,29.10065199661339,1.6148457700019931
India,2016,Under 40,Female,1631.2688462142305,513.2521330374944,31.463368789799738,0.248400523775128
India,2016,Under 40,Male,2596.338620765514,710.8422534285338,27.37864189760219,0.6865982476495319
India,2017,40 and above,Female,288266.0327224462,105620.6991348715,36.64000858421194,2.3796027125467534
India,2017,40 and above,Male,285914.072197836,84222.67823293163,29.45733925773839,2.8603409235662256
India,2017,Under 40,Female,1724.031493614498,544.6247179227225,31.59018381856215,0.6524578223034979
India,2017,Under 40,Male,2646.5095915998213,731.3739054409651,27.635414878615567,1.630896291242756
India,2018,40 and above,Female,311951.10049780627,115965.37703452008,37.17421635937957,3.8722874007043337
India,2018,40 and above,Male,307038.30265386397,91452.91901834836,29.78550826651968,4.006254878266832
