location_name,year,age_group,sex_name,val_total,val_hbm,val_hbm_2015,percent_change_from_2015
Brazil,2015,40 and above,Female,97673.2320107548,7193.916211812087,7193.916211812087,0.0
Brazil,2015,40 and above,Male,113093.10128846641,7907.261378794407,7907.261378794407,0.0
Brazil,2015,Under 40,Female,1532.0462761423,195.97688116883188,195.97688116883188,0.0
Brazil,2015,Under 40,Male,1608.2455859133931,186.88718323294208,186.88718323294208,0.0
Brazil,2016,40 and above,Female,100106.2295577797,7469.746068160157,7193.916211812087,3.8342100217287776
Brazil,2016,40 and above,Male,116993.9733006935,8322.776738518547,7907.261378794407,5.2548580326238294
Brazil,2016,Under 40,Female,1569.1980958155034,203.9729073994909,195.97688116883188,4.080086479063079
Brazil,2016,Under 40,Male,1644.4805705264125,195.7167044370655,186.88718323294208,4.724519387248732
Brazil,2017,40 and above,Female,98102.85343358577,7442.46626621481,7193.916211812087,3.455003465214338
Brazil,2017,40 and above,Male,115557.07457633235,8371.280632073933,7907.261378794407,5.868267546130779
Brazil,2017,Under 40,Female,1468.7995413451495,194.30335364100918,195.97688116883188,-0.8539413005460446
Brazil,2017,Under 40,Male,1563.1594778555818,189.5992787546689,186.88718323294208,1.4511939635509234
Brazil,2018,40 and above,Female,97704.25840345462,7551.424372561769,7193.916211812087,4.969590279112091
Brazil,2018,40 and above,Male,115960.29761017064,8606.771110590042,7907.261378794407,8.846422272970141
Brazil,2018,Under 40,Female,1424.8890415233723,193.09865083627625,195.97688116883188,-1.4686580965007134
Brazil,2018,Under 40,Male,1515.4230405981934,188.60773538681573,186.88718323294208,0.9206367842406317
Brazil,2019,40 and above,Female,99110.59203165385,7754.861084410867,7193.916211812087,7.797489657687898
Brazil,2019,40 and above,Male,117814.73111945343,8889.434033143161,7907.261378794407,12.421148199081063
Brazil,2019,Under 40,Female,1411.5816946260295,193.71155486865595,195.97688116883188,-1.1559150684842134
Brazil,2019,Under 40,Male,1503.5181894300524,190.7238489418447,186.88718323294208,2.052931422333266
Brazil,2020,40 and above,Female,101594.83174929602,8084.998648987843,7193.916211812087,12.386611282914847
Brazil,2020,40 and above,Male,120334.50618464935,9239.870291954268,7907.261378794407,16.85297664161747
Brazil,2020,Under 40,Female,1436.2680018162437,200.31435743395784,195.97688116883188,2.2132591554966474
Brazil,2020,Under 40,Male,1517.3851559343598,196.74470494612513,186.88718323294208,5.274584132875672
Brazil,2021,40 and above,Female,103162.33640759224,8398.204114842103,7193.916211812087,16.740365992206442
Brazil,2021,40 and above,Male,119089.87186304478,9375.341776099782,7907.261378794407,18.56623079695397
Brazil,2021,Under 40,Female,1472.4561668127765,209.48682269587584,195.97688116883188,6.893640436805044
Brazil,2021,Under 40,Male,1553.2472639312045,206.8773134107806,186.88718323294208,10.696362282330615
Global,2015,40 and above,Female,5079538.388394839,233124.23834561234,233124.23834561234,0.0
Global,2015,40 and above,Male,6209388.321693524,206852.83976781621,206852.83976781621,0.0
Global,2015,Under 40,Female,44613.4036069383,3312.361680864869,3312.361680864869,0.0
Global,2015,Under 40,Male,74773.3984002057,4007.0707324522114,4007.0707324522114,0.0
