location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,val_total_formatted,val_hbm_formatted
Brazil,2015,40 and above,Female,48672.404786304476,665.946170383441,1.3682212196156496,48.672,666
Brazil,2015,40 and above,Male,60645.34936168524,350.289053624053,0.5776024993028731,60.645,350
Brazil,2015,Under 40,Female,293.0268947082917,20.297084890984383,6.926696920154764,293,20
Brazil,2015,Under 40,Male,419.2141955753883,12.182412846101288,2.906011526966647,419,12
Brazil,2016,40 and above,Female,50735.30236301474,689.0350537330274,1.3580978562085468,50.735,689
Brazil,2016,40 and above,Male,63164.81081079155,362.06074533452744,0.5732000787892335,63.165,362
Brazil,2016,Under 40,Female,298.34644940272483,20.4643610427412,6.85926079687218,298,20
Brazil,2016,Under 40,Male,426.5944369107119,13.915661928891252,3.2620354896479493,427,14
Brazil,2017,40 and above,Female,51634.790425204126,727.2450253238759,1.4084399671909793,51.635,727
Brazil,2017,40 and above,Male,62586.64966888536,386.3352862614305,0.6172806633768337,62.587,386
Brazil,2017,Under 40,Female,273.60644327583685,19.569806619199387,7.152538655484092,274,20
Brazil,2017,Under 40,Male,411.380563354219,14.930378405464484,3.6293349116274825,411,15
Brazil,2018,40 and above,Female,52053.715101934984,701.6638841960262,1.3479612028113308,52.054,702
Brazil,2018,40 and above,Male,62563.93397360331,389.2939942122272,0.6222338805876183,62.564,389
Brazil,2018,Under 40,Female,267.99870519049597,19.18463563008014,7.158480715958506,268,19
Brazil,2018,Under 40,Male,408.8729024763427,14.590935334760575,3.568574793387,409,15
Brazil,2019,40 and above,Female,54072.38531763563,764.9982254085718,1.4147669293943073,54.072,765
Brazil,2019,40 and above,Male,63980.675488072324,403.0247072043678,0.629916305399905,63.981,403
Brazil,2019,Under 40,Female,279.8246438367044,20.44225627595759,7.30538096847787,280,20
Brazil,2019,Under 40,Male,407.67160855328643,14.8628211938867,3.6457827530915714,408,15
Brazil,2020,40 and above,Female,55797.70108887896,785.5500554750507,1.4078538006857397,55.798,786
Brazil,2020,40 and above,Male,66070.80940321184,411.2409073916759,0.6224245035080267,66.071,411
Brazil,2020,Under 40,Female,287.20872948834,20.623171171316827,7.180551652471301,287,21
Brazil,2020,Under 40,Male,412.2790485807182,14.93095080692165,3.6215642920303255,412,15
Brazil,2021,40 and above,Female,57098.899269265385,810.2644345412482,1.4190543861804163,57.099,810
Brazil,2021,40 and above,Male,65414.237962083665,410.79719658458345,0.6279935521418067,65.414,411
Brazil,2021,Under 40,Female,301.22403957934614,22.22961623159746,7.379761675940842,301,22
Brazil,2021,Under 40,Male,426.06353107048875,15.704505660791568,3.6859539752989057,426,16
Global,2015,40 and above,Female,2679703.2689982313,58912.63059088277,2.198475901136114,2.679.703,58.913
Global,2015,40 and above,Male,3741619.0415202132,44532.860090962684,1.1902029468202906,3.741.619,44.533
Global,2015,Under 40,Female,14586.879527511222,1274.231006762582,8.735459865554866,14.587,1.274
Global,2015,Under 40,Male,18586.57652172824,1028.5989480442313,5.534095785965585,18.587,1.029
Global,2016,40 and above,Female,2741122.4359843354,60698.64071097496,2.2143717447330338,2.741.122,60.699
Global,2016,40 and above,Male,3798738.660424865,45256.07371554174,1.1913447531155021,3.798.739,45.256
Global,2016,Under 40,Female,14817.667781744318,1303.5679769414141,8.797389684680592,14.818,1.304
Global,2016,Under 40,Male,18744.947455789457,1045.8679133755518,5.5794656978487875,18.745,1.046
Global,2017,40 and above,Female,2833638.6620681104,63049.61118999598,2.2250406177045763,2.833.639,63.050
Global,2017,40 and above,Male,3864593.743663967,46170.3791169895,1.194702009562744,3.864.594,46.170
Global,2017,Under 40,Female,15039.522890346852,1329.2819215086206,8.838591032444405,15.040,1.329
Global,2017,Under 40,Male,18829.529140645715,1058.1531348638375,5.619647347313066,18.830,1.058
Global,2018,40 and above,Female,2918305.4036579574,65157.1689547384,2.2327056268020127,2.918.305,65.157
Global,2018,40 and above,Male,3969490.3610774693,47677.13971137767,1.2010896960192214,3.969.490,47.677
Global,2018,Under 40,Female,14658.085830463462,1320.6827471412396,9.009926414788104,14.658,1.321
Global,2018,Under 40,Male,18634.605041546165,1056.6195289123855,5.670200825596434,18.635,1.057
Global,2019,40 and above,Female,2974452.149889017,66680.20500697549,2.2417642526023984,2.974.452,66.680
Global,2019,40 and above,Male,4054128.213176078,48775.843657686426,1.2031154687995065,4.054.128,48.776
Global,2019,Under 40,Female,14634.558342929156,1343.8820449651948,9.18293544276658,14.635,1.344
Global,2019,Under 40,Male,18580.25749343832,1070.6313660515632,5.762198755478283,18.580,1.071
Global,2020,40 and above,Female,2997986.8643842037,67384.68197935064,2.247664350363712,2.997.987,67.385
Global,2020,40 and above,Male,4106323.4399766186,49450.37348546635,1.2042493536687386,4.106.323,49.450
Global,2020,Under 40,Female,14870.088164953784,1365.700694294038,9.1842138334644,14.870,1.366
Global,2020,Under 40,Male,18388.428059606085,1068.1456297311051,5.808792498568726,18.388,1.068
Global,2021,40 and above,Female,3048847.4744672705,68533.81591714823,2.247859772949883,3.048.847,68.534
Global,2021,40 and above,Male,4154516.4167545554,50087.45389422924,1.2056145377650667,4.154.516,50.087
Global,2021,Under 40,Female,15163.847815108225,1398.3059074555633,9.221313247831375,15.164,1.398
Global,2021,Under 40,Male,18614.494180025707,1089.8831372269412,5.8550241907536815,18.614,1.090
India,2015,40 and above,Female,992386.4653197213,22497.983141076264,2.2670586437137668,992.386,22.498
India,2015,40 and above,Male,1166643.2691507966,14711.309501119578,1.2609946750756114,1.166.643,14.711
India,2015,Under 40,Female,4519.157098860763,268.1602036429592,5.9338544285296,4.519,268
India,2015,Under 40,Male,5294.713969445477,223.57560464479556,4.222619124186815,5.295,224
India,2016,40 and above,Female,1020147.2118776429,23357.598187217194,2.289630154870111,1.020.147,23.358
India,2016,40 and above,Male,1176446.0178609462,14907.071240903728,1.2671275192046862,1.176.446,14.907
India,2016,Under 40,Female,4713.859379724223,279.38712713005003,5.926929605320453,4.714,279
India,2016,Under 40,Male,5413.675340335464,229.3487601045086,4.236470524852286,5.414,229
India,2017,40 and above,Female,1072463.7474513722,24773.6976176922,2.309979957510451,1.072.464,24.774
India,2017,40 and above,Male,1212711.2821626172,15342.113848132603,1.2651085277918046,1.212.711,15.342
India,2017,Under 40,Female,4925.321419441294,293.99720862282373,5.969096909337816,4.925,294
India,2017,Under 40,Male,5474.164989197189,234.59937275207156,4.285573657626943,5.474,235
India,2018,40 and above,Female,1116832.2254244192,26103.818304073917,2.3373088374266717,1.116.832,26.104
India,2018,40 and above,Male,1282077.1306171871,16288.695647785664,1.270492645005246,1.282.077,16.289
India,2018,Under 40,Female,4492.511419213751,271.5869984858025,6.045326837106489,4.493,272
India,2018,Under 40,Male,5205.263891958128,224.60646387688786,4.314987069606473,5.205,225
India,2019,40 and above,Female,1130931.588028006,26679.019648761336,2.3590303720564805,1.130.932,26.679
India,2019,40 and above,Male,1316448.6252378542,16735.391680316898,1.2712529269642534,1.316.449,16.735
India,2019,Under 40,Female,4340.800775493115,264.1140412821321,6.0844543424623945,4.341,264
India,2019,Under 40,Male,5045.460200364604,219.05030234395994,4.341532657974996,5.045,219
India,2020,40 and above,Female,1115357.0538464442,26441.297362094596,2.3706576536104356,1.115.357,26.441
India,2020,40 and above,Male,1320125.9369971137,16772.840041368083,1.2705484811184915,1.320.126,16.773
India,2020,Under 40,Female,4568.299970743639,278.11384434498063,6.087906795220992,4.568,278
India,2020,Under 40,Male,4969.9971897100095,216.81423946636983,4.362462013364248,4.970,217
India,2021,40 and above,Female,1111766.2649148554,26401.622353669834,2.374745770478276,1.111.766,26.402
India,2021,40 and above,Male,1316287.808520166,16740.02385541822,1.2717601535972713,1.316.288,16.740
India,2021,Under 40,Female,4713.496877938658,288.6410099968403,6.123712765098318,4.713,289
India,2021,Under 40,Male,5008.298866753834,218.37300803344442,4.360223178433928,5.008,218
Japan,2015,40 and above,Female,20002.751058675378,165.31041357090317,0.8264383888295531,20.003,165
Japan,2015,40 and above,Male,42873.65929230533,115.9785424480851,0.2705123480535288,42.874,116
Japan,2015,Under 40,Female,27.466951993419077,0.6882298323999368,2.505665108253849,27,1
Japan,2015,Under 40,Male,50.82563824138556,1.6919584524540359,3.3289467894499207,51,2
Japan,2016,40 and above,Female,20528.400744440136,170.00831028535706,0.8281614939312879,20.528,170
Japan,2016,40 and above,Male,44502.28294615771,118.1535482877046,0.26549997093554917,44.502,118
Japan,2016,Under 40,Female,25.491409702205726,0.6877611022665705,2.6980112528145503,25,1
Japan,2016,Under 40,Male,47.68597056500038,1.409299991723412,2.9553765500115086,48,1
Japan,2017,40 and above,Female,21248.52829766957,191.66871307717577,0.902032886193803,21.249,192
Japan,2017,40 and above,Male,47616.09120625577,122.59227789615403,0.25745976788629793,47.616,123
Japan,2017,Under 40,Female,27.07219646779882,0.7499812636025934,2.7703007566994535,27,1
Japan,2017,Under 40,Male,42.1158021241553,1.1168292178920707,2.651805644351052,42,1
Japan,2018,40 and above,Female,21775.65656602589,186.80338196977945,0.8578541887055098,21.776,187
Japan,2018,40 and above,Male,48929.68229844654,121.68467139261378,0.24869295216428805,48.930,122
Japan,2018,Under 40,Female,25.908560702954187,0.5301547558522022,2.0462532131001474,26,1
Japan,2018,Under 40,Male,38.60250214890092,0.8226725367403076,2.131137856212076,39,1
Japan,2019,40 and above,Female,21900.441183660336,181.74193387493102,0.8298551264370261,21.900,182
Japan,2019,40 and above,Male,49465.01517593569,113.96103153276096,0.2303871354884412,49.465,114
Japan,2019,Under 40,Female,24.126111845360168,0.4558219900086701,1.889330501865894,24,0
Japan,2019,Under 40,Male,38.62908190187459,0.9284898623548651,2.403603235286333,39,1
Japan,2020,40 and above,Female,21418.003340380776,179.36723049446942,0.837460092072619,21.418,179
Japan,2020,40 and above,Male,49399.08417096018,113.4302853487869,0.22962021918509207,49.399,113
Japan,2020,Under 40,Female,23.458679482102568,0.45106916577119216,1.9228241986737928,23,0
Japan,2020,Under 40,Male,37.58657175816026,0.9184572939099035,2.4435782540090294,38,1
Japan,2021,40 and above,Female,22426.151020496865,190.76044787066405,0.8506160851958698,22.426,191
Japan,2021,40 and above,Male,51427.34484956272,117.68404347372034,0.2288355422936461,51.427,118
Japan,2021,Under 40,Female,22.556458578957745,0.43745560306695347,1.9393806946053267,23,0
Japan,2021,Under 40,Male,35.96621887519854,0.8910188514288349,2.477377047947791,36,1
Netherlands,2015,40 and above,Female,7683.396466841097,32.73069990847114,0.42599259389679556,7.683,33
Netherlands,2015,40 and above,Male,8283.32473379726,12.031234273060685,0.1452464398017787,8.283,12
Netherlands,2015,Under 40,Female,9.288232862192174,0.4773285012283057,5.139066906593989,9,0
Netherlands,2015,Under 40,Male,8.680382629820036,0.1863532496686689,2.1468322033234197,9,0
Netherlands,2016,40 and above,Female,7914.71698295948,36.38557071732886,0.4597204270938255,7.915,36
Netherlands,2016,40 and above,Male,8392.540615954404,13.084395983061265,0.15590506596044995,8.393,13
Netherlands,2016,Under 40,Female,9.813287337123365,0.5711000512340964,5.819660951673578,10,1
Netherlands,2016,Under 40,Male,7.8943189526270565,0.1436623028498267,1.8198188306290695,8,0
Netherlands,2017,40 and above,Female,8233.733497317326,39.384429381220095,0.4783301450557288,8.234,39
Netherlands,2017,40 and above,Male,8548.47854529885,13.880082431600398,0.16236903863124985,8.548,14
Netherlands,2017,Under 40,Female,9.629214435926754,0.5614918960161863,5.831128798225232,10,1
Netherlands,2017,Under 40,Male,8.235163069542416,0.1341654654584375,1.6291780056504983,8,0
Netherlands,2018,40 and above,Female,8415.316869545291,39.60322289437736,0.4706088137655268,8.415,40
Netherlands,2018,40 and above,Male,8633.625761796522,14.22978482814174,0.16481817976299157,8.634,14
Netherlands,2018,Under 40,Female,9.844585162258554,0.5794332597977115,5.885806768365417,10,1
Netherlands,2018,Under 40,Male,8.30496206870307,0.1329191256370854,1.6004784192571575,8,0
Netherlands,2019,40 and above,Female,8490.535268170503,39.937297388525465,0.47037431830998033,8.491,40
Netherlands,2019,40 and above,Male,8702.62656723386,14.267274532249912,0.16394216644854592,8.703,14
Netherlands,2019,Under 40,Female,9.86257229884511,0.5794276517340681,5.875015504848751,10,1
Netherlands,2019,Under 40,Male,8.294920415819998,0.133195575062744,1.6057486797427807,8,0
Netherlands,2020,40 and above,Female,8446.955046732108,39.57095320207392,0.46846411497576074,8.447,40
Netherlands,2020,40 and above,Male,8710.15187450514,14.012011343974562,0.1608698854607589,8.710,14
Netherlands,2020,Under 40,Female,9.600612809148835,0.5683042510543546,5.91945808410056,10,1
Netherlands,2020,Under 40,Male,7.729047714388159,0.1252676125026292,1.6207379890983833,8,0
Netherlands,2021,40 and above,Female,8523.803746766322,39.99657855522309,0.46923392118684815,8.524,40
Netherlands,2021,40 and above,Male,8888.250494693233,14.276090875281541,0.16061755779503673,8.888,14
Netherlands,2021,Under 40,Female,9.970791474934797,0.5899256763242504,5.916538098377071,10,1
Netherlands,2021,Under 40,Male,7.488746879030363,0.1233696800220279,1.6474008537727705,7,0
Nigeria,2015,40 and above,Female,14896.284228060871,1177.8196470967596,7.90680164975667,14.896,1.178
Nigeria,2015,40 and above,Male,20284.96629226172,866.8648165959022,4.273434838916112,20.285,867
Nigeria,2015,Under 40,Female,285.10353251820686,33.401064983754296,11.715416041581767,285,33
Nigeria,2015,Under 40,Male,314.87797388932887,30.040658908547783,9.540412921707336,315,30
Nigeria,2016,40 and above,Female,15491.072786266286,1230.849804134057,7.945542707831539,15.491,1.231
Nigeria,2016,40 and above,Male,20287.398335489066,873.4932576727361,4.3055952430564775,20.287,873
Nigeria,2016,Under 40,Female,292.48359492739445,34.35901371115393,11.747330211693802,292,34
Nigeria,2016,Under 40,Male,319.6061289001349,30.733059518771242,9.615916823789755,320,31
Nigeria,2017,40 and above,Female,15889.270691635737,1273.4784775947096,8.014706919588706,15.889,1.273
Nigeria,2017,40 and above,Male,20132.20234707641,873.0328167105736,4.336499314181367,20.132,873
Nigeria,2017,Under 40,Female,293.9571616091348,34.80776223739826,11.84110026333735,294,35
Nigeria,2017,Under 40,Male,320.0464170404326,31.04179244468875,9.699153245251651,320,31
Nigeria,2018,40 and above,Female,16248.731720691248,1306.6154009023576,8.041337769387283,16.249,1.307
Nigeria,2018,40 and above,Male,20054.82971758344,880.5280722391426,4.390603583470586,20.055,881
Nigeria,2018,Under 40,Female,292.9422071056194,34.74143598069939,11.859484614374288,293,35
Nigeria,2018,Under 40,Male,319.3525369516215,31.314293841048855,9.805556624024138,319,31
Nigeria,2019,40 and above,Female,16597.145913380853,1344.9344547279645,8.103408030194272,16.597,1.345
Nigeria,2019,40 and above,Male,19948.69199811193,881.7943391919188,4.420311563662305,19.949,882
Nigeria,2019,Under 40,Female,295.65652527616277,35.2686234324757,11.928917651836864,296,35
Nigeria,2019,Under 40,Male,316.92323450868133,31.3159184310362,9.881231484837183,317,31
Nigeria,2020,40 and above,Female,17061.423756587665,1392.941601038233,8.164275273336424,17.061,1.393
Nigeria,2020,40 and above,Male,19866.96715986378,884.6699862426294,4.452969490128735,19.867,885
Nigeria,2020,Under 40,Female,299.88388986959586,36.089418920043585,12.034464050648744,300,36
Nigeria,2020,Under 40,Male,316.90743254107525,31.6987234678641,10.002518152916954,317,32
Nigeria,2021,40 and above,Female,17788.849686572692,1458.3515350817347,8.198121636738106,17.789,1.458
Nigeria,2021,40 and above,Male,19830.715318052815,897.7567523571148,4.527102214713583,19.831,898
Nigeria,2021,Under 40,Female,309.04618526572045,37.53764906326576,12.146291024751068,309,38
Nigeria,2021,Under 40,Male,321.61609799080986,32.61623088611938,10.141355202640193,322,33
United States of America,2015,40 and above,Female,174088.08631806343,1321.6944759985427,0.7592101814387072,174.088,1.322
United States of America,2015,40 and above,Male,166538.11951042572,740.7516142522985,0.4447940305978569,166.538,741
United States of America,2015,Under 40,Female,350.4105363471968,46.8856854967767,13.380215670889822,350,47
United States of America,2015,Under 40,Male,396.5992177875506,53.105199459077454,13.39014225880918,397,53
United States of America,2016,40 and above,Female,178262.0807204998,1328.6416703953896,0.745330507208984,178.262,1.329
United States of America,2016,40 and above,Male,171666.24980953534,737.4309445208413,0.4295724671209542,171.666,737
United States of America,2016,Under 40,Female,362.57252742886203,50.346962789122855,13.886039062626196,363,50
United States of America,2016,Under 40,Male,421.71590891967764,55.14077212625706,13.075336016493388,422,55
United States of America,2017,40 and above,Female,182488.0790079992,1329.3251697695348,0.7284449356887938,182.488,1.329
